record_id,record_type,kanda,sarga_number,source_locator,confidence,tamil_state,variant_state,primary_disposition,blocking_issue,recommended_action
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-SARGA-001,SARGA,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-EVENT-001,EVENT,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-DIALOGUE-001,DIALOGUE,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-CHARACTER-001,CHARACTER,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-PLACE-001,PLACE,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-JOURNEY-001,JOURNEY,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-DHARMA_LESSON-001,DHARMA_LESSON,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-WISDOM-001,WISDOM,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-094-TIMELINE_EVENT-001,TIMELINE_EVENT,Ayodhya Kanda,94,2.94.1-27,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-SARGA-001,SARGA,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-EVENT-001,EVENT,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-DIALOGUE-001,DIALOGUE,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-CHARACTER-001,CHARACTER,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-PLACE-001,PLACE,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-JOURNEY-001,JOURNEY,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-DHARMA_LESSON-001,DHARMA_LESSON,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-WISDOM-001,WISDOM,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-095-TIMELINE_EVENT-001,TIMELINE_EVENT,Ayodhya Kanda,95,2.95.1-19,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-096-SARGA-001,SARGA,Ayodhya Kanda,96,2.96.1-30,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-096-EVENT-001,EVENT,Ayodhya Kanda,96,2.96.1-30,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-096-DIALOGUE-001,DIALOGUE,Ayodhya Kanda,96,2.96.1-30,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-096-CHARACTER-001,CHARACTER,Ayodhya Kanda,96,2.96.1-30,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-096-PLACE-001,PLACE,Ayodhya Kanda,96,2.96.1-30,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
RV02-MAXVALUE-20260825-AYODHYA-94-101-096-JOURNEY-001,JOURNEY,Ayodhya Kanda,96,2.96.1-30,0.9,MACHINE_DRAFT_NEEDS_REVIEW,PENDING_INDEPENDENT_CROSSCHECK,TECHNICAL_BLOCK,"Required field missing.","Keep quarantined for editorial/source decision."
