decisionId,recordId,rootCause,disposition,kanda,sarga,sourceLocator
V15-X-001,STAGING-ARANYA-SARGA-1-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,1,"3.1.1 to 3.1.28"
V15-X-002,STAGING-ARANYA-SARGA-10-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,10,"3.10.1 to 3.10.30"
V15-X-003,STAGING-ARANYA-SARGA-11-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,11,"3.11.1 to 3.11.35"
V15-X-004,STAGING-ARANYA-SARGA-12-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,12,"3.12.1 to 3.12.30"
V15-X-005,STAGING-ARANYA-SARGA-13-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,13,"3.13.1 to 3.13.32"
V15-X-006,STAGING-ARANYA-SARGA-14-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,14,"3.14.1 to 3.14.30"
V15-X-007,STAGING-ARANYA-SARGA-15-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,15,"3.15.1 to 3.15.30"
V15-X-008,STAGING-ARANYA-SARGA-16-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,16,"3.16.1 to 3.16.35"
V15-X-009,STAGING-ARANYA-SARGA-17-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,17,"3.17.1 to 3.17.30"
V15-X-010,STAGING-ARANYA-SARGA-18-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,18,"3.18.1 to 3.18.32"
V15-X-011,STAGING-ARANYA-SARGA-19-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,19,"3.19.1 to 3.19.30"
V15-X-012,STAGING-ARANYA-SARGA-2-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,2,"3.2.1 to 3.2.35"
V15-X-013,STAGING-ARANYA-SARGA-20-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,20,"3.20.1 to 3.20.35"
V15-X-014,STAGING-ARANYA-SARGA-21-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,21,"3.21.1 to 3.21.30"
V15-X-015,STAGING-ARANYA-SARGA-22-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,22,"3.22.1 to 3.22.32"
V15-X-016,STAGING-ARANYA-SARGA-23-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,23,"3.23.1 to 3.23.30"
V15-X-017,STAGING-ARANYA-SARGA-24-2026,MISSING_CANONICAL_TARGET,SAFE_NEW,Aranya Kanda,24,"3.24.1 to 3.24.35"
