candidate_id,record_type,kanda,sarga_reference,merge_state,possible_legacy_overlap,action_required
stg-v2-ayodhyakanda-s18-event-001,EVENT,Ayodhya Kanda,2.18.1–18,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s18-relationship-001,RELATIONSHIP,Ayodhya Kanda,2.18.11–18,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s18-character-001,CHARACTER,Ayodhya Kanda,2.18.1–41; 2.19.1–40,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s18-character-002,CHARACTER,Ayodhya Kanda,2.18.1–41,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s18-character-003,CHARACTER,Ayodhya Kanda,2.18.19–41; 2.19.1–26,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s18-event-002,EVENT,Ayodhya Kanda,2.18.19–41,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s19-event-001,EVENT,Ayodhya Kanda,2.19.1–8,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s19-relationship-001,RELATIONSHIP,Ayodhya Kanda,"2.19.5–8, 22–26",awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s19-place-001,PLACE,Ayodhya Kanda,"2.19.2, 11, 14–16",awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
stg-v2-ayodhyakanda-s19-event-002,NARRATIVE_SEQUENCE,Ayodhya Kanda,2.19.9–26,awaiting_v1_4_0_reconciliation,True,Compare against authoritative v1.4.0 corpus IDs and source locators; do not merge automatically.
