batchId,kanda,sargaRange,source,edition,recordCount,recordTypes,risk,confidence,sourceVerification,duplicateResult,variantResult,recommendedDecision
"APPROVAL-001","Aranya Kanda","1-1","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-002","Aranya Kanda","10-10","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-003","Aranya Kanda","11-11","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-004","Aranya Kanda","12-12","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-005","Aranya Kanda","13-13","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-006","Aranya Kanda","14-14","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-007","Aranya Kanda","15-15","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-008","Aranya Kanda","16-16","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-009","Aranya Kanda","17-17","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-010","Aranya Kanda","18-18","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
