code,label,level,ui_status,content_status,fallback_language
en,English,A,full_ui,full_content_priority,en
ta,Tamil,A,full_ui,full_content_priority,en
hi,Hindi,B,controlled_expansion,controlled_expansion,en
te,Telugu,B,controlled_expansion,controlled_expansion,en
kn,Kannada,B,controlled_expansion,controlled_expansion,en
ml,Malayalam,B,controlled_expansion,controlled_expansion,en
mr,Marathi,B,controlled_expansion,controlled_expansion,en
bn,Bengali,B,controlled_expansion,controlled_expansion,en
gu,Gujarati,B,controlled_expansion,controlled_expansion,en
or,Odia,B,controlled_expansion,controlled_expansion,en
pa,Punjabi,B,controlled_expansion,controlled_expansion,en
as,Assamese,B,controlled_expansion,controlled_expansion,en
sa,Sanskrit,B,controlled_expansion,controlled_expansion,en
es,Spanish,C,framework,framework,en
fr,French,C,framework,framework,en
de,German,C,framework,framework,en
pt,Portuguese,C,framework,framework,en
id,Indonesian,C,framework,framework,en
th,Thai,C,framework,framework,en
si,Sinhala,C,framework,framework,en
ne,Nepali,C,framework,framework,en
ja,Japanese,C,framework,framework,en
ko,Korean,C,framework,framework,en
ar,Arabic,C,framework,framework,en
it,Italian,C,framework,framework,en
nl,Dutch,C,framework,framework,en
ru,Russian,C,framework,framework,en
ur,Urdu,C,framework,framework,en
ms,Malay,C,framework,framework,en
zh-CN,Chinese Simplified,C,framework,framework,en
